filename,date,isCompleteData,original_count,predicted_count
DOGE_20181109,2018-11-09,True,321,321
DOGE_20181110,2018-11-10,True,330,330
DOGE_20181111,2018-11-11,True,228,228
DOGE_20181112,2018-11-12,True,245,245
DOGE_20181113,2018-11-13,True,210,210
DOGE_20181114,2018-11-14,True,293,293
DOGE_20181115,2018-11-15,True,347,347
DOGE_20181116,2018-11-16,True,281,281
DOGE_20181117,2018-11-17,True,217,217
DOGE_20181118,2018-11-18,True,216,216
DOGE_20181119,2018-11-19,True,285,285
DOGE_20181120,2018-11-20,True,231,231
DOGE_20181121,2018-11-21,True,227,227
DOGE_20181122,2018-11-22,True,252,252
DOGE_20181123,2018-11-23,True,248,248
DOGE_20181124,2018-11-24,True,183,183
DOGE_20181125,2018-11-25,True,193,193
DOGE_20181126,2018-11-26,True,210,210
DOGE_20181127,2018-11-27,True,283,283
DOGE_20181128,2018-11-28,True,244,244
DOGE_20181129,2018-11-29,True,228,228
DOGE_20181130,2018-11-30,True,246,246
DOGE_20181201,2018-12-01,True,233,233
DOGE_20181202,2018-12-02,True,289,289
DOGE_20181203,2018-12-03,True,302,302
DOGE_20181204,2018-12-04,True,349,349
DOGE_20181205_Latest82,2018-12-05,False,82,307
DOGE_20181206,2018-12-06,True,324,324
DOGE_20181207,2018-12-07,True,333,333
DOGE_20181208,2018-12-08,True,208,208
DOGE_20181209,2018-12-09,True,193,193
DOGE_20181210,2018-12-10,True,229,229
DOGE_20181211,2018-12-11,True,269,269
DOGE_20181212,2018-12-12,True,308,308
DOGE_20181213,2018-12-13,True,306,306
DOGE_20181214,2018-12-14,True,320,320
DOGE_20181215,2018-12-15,True,255,255
DOGE_20190315,2019-03-15,True,363,363
DOGE_20190316,2019-03-16,True,210,210
DOGE_20190317_Latest131,2019-03-17,False,131,218
DOGE_20190318,2019-03-18,True,273,273
DOGE_20190319_Latest46,2019-03-19,False,46,211
DOGE_20190320_Latest436,2019-03-20,False,436,515
DOGE_20190321,2019-03-21,True,280,280
DOGE_20190322,2019-03-22,True,276,276
DOGE_20190323,2019-03-23,True,254,254
DOGE_20190324,2019-03-24,True,209,209
DOGE_20190325,2019-03-25,True,252,252
DOGE_20190326,2019-03-26,True,235,235
DOGE_20190327,2019-03-27,True,339,339
DOGE_20190328,2019-03-28,True,361,361
DOGE_20190329,2019-03-29,True,303,303
DOGE_20190330,2019-03-30,True,238,238
DOGE_20190331,2019-03-31,True,227,227
DOGE_20190401,2019-04-01,True,767,767
DOGE_20190402_Latest1349,2019-04-02,False,1349,2241
DOGE_20190403,2019-04-03,True,1435,1435
DOGE_20190404,2019-04-04,True,1041,1041
DOGE_20190405,2019-04-05,True,585,585
DOGE_20190406,2019-04-06,True,332,332
DOGE_20190407,2019-04-07,True,378,378
DOGE_20190408,2019-04-08,True,366,366
DOGE_20190409,2019-04-09,True,427,427
DOGE_20190410,2019-04-10,True,399,399
DOGE_20190411,2019-04-11,True,311,311
DOGE_20190412,2019-04-12,True,334,334
DOGE_20190413,2019-04-13,True,272,272
DOGE_20190414,2019-04-14,True,269,269
DOGE_20190415,2019-04-15,True,304,304
DOGE_20190416,2019-04-16,True,330,330
DOGE_20190417,2019-04-17,True,350,350
DOGE_20190418,2019-04-18,True,400,400
DOGE_20190419,2019-04-19,True,313,313
DOGE_20190420,2019-04-20,True,316,316
DOGE_20190421,2019-04-21,True,246,246
DOGE_20190422,2019-04-22,True,325,325
DOGE_20190423,2019-04-23,True,333,333
DOGE_20190424,2019-04-24,True,319,319
DOGE_20190425,2019-04-25,True,300,300
DOGE_20190426,2019-04-26,True,263,263
DOGE_20190427,2019-04-27,True,251,251
DOGE_20190428,2019-04-28,True,253,253
DOGE_20190429,2019-04-29,True,278,278
DOGE_20190430,2019-04-30,True,453,453
DOGE_20200101,2020-01-01,True,137,137
DOGE_20200102_Latest32,2020-01-02,False,32,255
DOGE_20200103,2020-01-03,True,182,182
DOGE_20200104,2020-01-04,True,256,256
DOGE_20200105,2020-01-05,True,248,248
DOGE_20200106,2020-01-06,True,295,295
DOGE_20200107,2020-01-07,True,204,204
DOGE_20200108,2020-01-08,True,237,237
DOGE_20200109,2020-01-09,True,241,241
DOGE_20200110,2020-01-10,True,304,304
DOGE_20200111,2020-01-11,True,169,169
DOGE_20200112,2020-01-12,True,177,177
DOGE_20200113,2020-01-13,True,203,203
DOGE_20200114,2020-01-14,True,213,213
DOGE_20200115,2020-01-15,True,196,196
DOGE_20200116,2020-01-16,True,166,166
DOGE_20200117,2020-01-17,True,259,259
DOGE_20200118,2020-01-18,True,277,277
DOGE_20200119,2020-01-19,True,216,216
DOGE_20200120,2020-01-20,True,206,206
DOGE_20200121,2020-01-21,True,188,188
DOGE_20200122,2020-01-22,True,164,164
DOGE_20200123,2020-01-23,True,196,196
DOGE_20200124,2020-01-24,True,187,187
DOGE_20200125,2020-01-25,True,223,223
DOGE_20200126,2020-01-26,True,204,204
DOGE_20200127,2020-01-27,True,170,170
DOGE_20200128,2020-01-28,True,216,216
DOGE_20200129,2020-01-29,True,221,221
DOGE_20200130,2020-01-30,True,168,168
DOGE_20200131,2020-01-31,True,191,191
DOGE_20200201,2020-02-01,True,203,203
DOGE_20200202,2020-02-02,True,200,200
DOGE_20200203,2020-02-03,True,198,198
DOGE_20200204,2020-02-04,True,253,253
DOGE_20200205_Latest133,2020-02-05,False,133,282
DOGE_20200206,2020-02-06,True,252,252
DOGE_20200207_Latest7,2020-02-07,False,7,179
DOGE_20200208,2020-02-08,True,624,624
DOGE_20200209,2020-02-09,True,459,459
DOGE_20200210,2020-02-10,True,374,374
DOGE_20200211,2020-02-11,True,278,278
DOGE_20200212,2020-02-12,True,301,301
DOGE_20200213,2020-02-13,True,259,259
DOGE_20200214,2020-02-14,True,232,232
DOGE_20200215,2020-02-15,True,239,239
DOGE_20200216,2020-02-16,True,210,210
DOGE_20200217,2020-02-17,True,234,234
DOGE_20200218,2020-02-18,True,292,292
DOGE_20200219,2020-02-19,True,213,213
DOGE_20200220,2020-02-20,True,186,186
DOGE_20200221,2020-02-21,True,214,214
DOGE_20200222_Latest137,2020-02-22,False,137,205
DOGE_20200223,2020-02-23,True,185,185
DOGE_20200224,2020-02-24,True,221,221
DOGE_20200225,2020-02-25,True,197,197
DOGE_20200226,2020-02-26,True,206,206
DOGE_20200227,2020-02-27,True,235,235
DOGE_20200228,2020-02-28,True,160,160
DOGE_20200229,2020-02-29,True,171,171
DOGE_20200301,2020-03-01,True,191,191
DOGE_20200302,2020-03-02,True,172,172
DOGE_20200303,2020-03-03,True,525,525
DOGE_20200304,2020-03-04,True,348,348
DOGE_20200305,2020-03-05,True,236,236
DOGE_20200306,2020-03-06,True,212,212
DOGE_20200307,2020-03-07,True,169,169
DOGE_20200308,2020-03-08,True,200,200
DOGE_20200309,2020-03-09,True,202,202
DOGE_20200310,2020-03-10,True,210,210
DOGE_20200311,2020-03-11,True,166,166
DOGE_20200312,2020-03-12,True,293,293
DOGE_20200313,2020-03-13,True,212,212
DOGE_20200314,2020-03-14,True,155,155
DOGE_20200315,2020-03-15,True,156,156
DOGE_20200316,2020-03-16,True,160,160
DOGE_20200317,2020-03-17,True,170,170
DOGE_20200318,2020-03-18,True,129,129
DOGE_20200319,2020-03-19,True,207,207
DOGE_20200320,2020-03-20,True,160,160
DOGE_20200321,2020-03-21,True,111,111
DOGE_20200322,2020-03-22,True,155,155
DOGE_20200323,2020-03-23,True,170,170
DOGE_20200324,2020-03-24,True,161,161
DOGE_20200325,2020-03-25,True,174,174
DOGE_20200326,2020-03-26,True,166,166
DOGE_20200327,2020-03-27,True,154,154
DOGE_20200328,2020-03-28,True,126,126
DOGE_20200329,2020-03-29,True,162,162
DOGE_20200330,2020-03-30,True,203,203
DOGE_20200331_Latest4,2020-03-31,False,4,102
DOGE_20200401,2020-04-01,True,246,246
DOGE_20200402,2020-04-02,True,185,185
DOGE_20200403,2020-04-03,True,138,138
DOGE_20200404,2020-04-04,True,158,158
DOGE_20200405,2020-04-05,True,125,125
DOGE_20200406,2020-04-06,True,156,156
DOGE_20200407,2020-04-07,True,263,263
DOGE_20200408,2020-04-08,True,130,130
DOGE_20200409,2020-04-09,True,143,143
DOGE_20200410,2020-04-10,True,164,164
DOGE_20200411,2020-04-11,True,207,207
DOGE_20200412,2020-04-12,True,146,146
DOGE_20200413,2020-04-13,True,148,148
DOGE_20200414,2020-04-14,True,204,204
DOGE_20200415,2020-04-15,True,166,166
DOGE_20200416,2020-04-16,True,161,161
DOGE_20200417,2020-04-17,True,186,186
DOGE_20200418,2020-04-18,True,159,159
DOGE_20200419,2020-04-19,True,149,149
DOGE_20200420,2020-04-20,True,232,232
DOGE_20200421,2020-04-21,True,177,177
DOGE_20200422,2020-04-22,True,170,170
DOGE_20200423,2020-04-23,True,184,184
DOGE_20200424,2020-04-24,True,135,135
DOGE_20200425,2020-04-25,True,211,211
DOGE_20200426,2020-04-26,True,385,385
DOGE_20200427,2020-04-27,True,298,298
DOGE_20200428,2020-04-28,True,193,193
DOGE_20200429,2020-04-29,True,220,220
DOGE_20200430,2020-04-30,True,219,219
DOGE_20210315_Latest4405,2021-03-15,False,4405,5975
DOGE_20210316_Latest4044,2021-03-16,False,4044,6719
DOGE_20210317_Latest4338,2021-03-17,False,4338,6820
DOGE_20210318,2021-03-18,True,6003,6003
DOGE_20210319,2021-03-19,True,6033,6033
DOGE_20210320,2021-03-20,True,5482,5482
DOGE_20210321,2021-03-21,True,4258,4258
DOGE_20210322,2021-03-22,True,4832,4832
DOGE_20210323,2021-03-23,True,4893,4893
DOGE_20210324,2021-03-24,True,6150,6150
DOGE_20210325,2021-03-25,True,5015,5015
DOGE_20210326,2021-03-26,True,4246,4246
DOGE_20210327,2021-03-27,True,4170,4170
DOGE_20210328,2021-03-28,True,4026,4026
DOGE_20210329,2021-03-29,True,3797,3797
DOGE_20210330,2021-03-30,True,4115,4115
DOGE_20210331,2021-03-31,True,3598,3598
DOGE_20210401,2021-04-01,True,10170,10170
DOGE_20210402,2021-04-02,True,5077,5077
DOGE_20210403_Latest898,2021-04-03,False,898,3363
DOGE_20210404,2021-04-04,True,3517,3517
DOGE_20210405,2021-04-05,True,3906,3906
DOGE_20210406,2021-04-06,True,5449,5449
DOGE_20210407,2021-04-07,True,5477,5477
DOGE_20210408,2021-04-08,True,3821,3821
DOGE_20210409,2021-04-09,True,4445,4445
DOGE_20210410,2021-04-10,True,5052,5052
DOGE_20210411,2021-04-11,True,11622,11622
DOGE_20210412,2021-04-12,True,4985,4985
DOGE_20210413,2021-04-13,True,16228,16228
DOGE_20210414_Latest23795,2021-04-14,False,23795,26900
DOGE_20210415_Latest25940,2021-04-15,False,25940,29325
DOGE_20210416_Latest11037,2021-04-16,False,11037,50632
DOGE_20210417_Latest463,2021-04-17,False,463,11822
DOGE_20210418_Latest21553,2021-04-18,False,21553,22396
DOGE_20210419_Latest5173,2021-04-19,False,5173,41183
DOGE_20210420_Latest37310,2021-04-20,False,37310,40431
DOGE_20210421_Latest3160,2021-04-21,False,3160,18590
DOGE_20210422_Latest4137,2021-04-22,False,4137,18978
DOGE_20210423_Latest5088,2021-04-23,False,5088,13759
DOGE_20210424_Latest6266,2021-04-24,False,6266,13267
DOGE_20210425,2021-04-25,True,12409,12409
DOGE_20210426_Latest8792,2021-04-26,False,8792,10906
DOGE_20210427,2021-04-27,True,12276,12276
DOGE_20210428_Latest654,2021-04-28,False,654,16699
