coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
DOGE,2021-05-15,0,0.07591450934132982,0.1552646315092249,0.07374453251325408,0.17761560833649662,-0.08153910972404987,-0.16415149302579404,0.0456019411558119,0.10108406009421209,-0.1220070667892586,-0.21287630368603955,0.0022753592867967875,0.0019313396258075026,0.0003440196609892849,0.00039519366915138703,60.99132911026059
DOGE,2021-05-16,3,-0.05805840486395464,-0.10278538560341949,0.07591450934132982,0.1552646315092249,0.07374453251325408,0.17761560833649662,-0.08153910972404987,-0.16415149302579404,0.0456019411558119,0.10108406009421209,0.0022805877839656382,0.0019593399882213407,0.0003212477957442975,0.00038040449446996913,55.49444230510291
DOGE,2021-05-17,1,0.008523092944737853,0.01681772146326276,-0.05805840486395464,-0.10278538560341949,0.07591450934132982,0.1552646315092249,0.07374453251325408,0.17761560833649662,-0.08153910972404987,-0.16415149302579404,0.0022909869604735996,0.0019881431321506775,0.0003028438283229221,0.0003648923612405597,56.66048000340724
DOGE,2021-05-18,1,-0.030168065823274193,-0.05854290798704619,0.008523092944737853,0.01681772146326276,-0.05805840486395464,-0.10278538560341949,0.07591450934132982,0.1552646315092249,0.07374453251325408,0.17761560833649662,0.0022786371209018,0.002004629789269657,0.0002740073316321429,0.00034671535531887636,52.20195951630268
DOGE,2021-05-19,0,-0.006171367423690011,-0.012720602935025867,-0.030168065823274193,-0.05854290798704619,0.008523092944737853,0.01681772146326276,-0.05805840486395464,-0.10278538560341949,0.07591450934132982,0.1552646315092249,0.0022638608562921647,0.002017812130874806,0.0002460487254173586,0.0003265820293385728,46.37928557873887
DOGE,2021-05-20,4,-0.14023590544708353,-0.292782720413946,-0.006171367423690011,-0.012720602935025867,-0.030168065823274193,-0.05854290798704619,0.008523092944737853,0.01681772146326276,-0.05805840486395464,-0.10278538560341949,0.002153046317327234,0.0019826828139966808,0.00017036350333055322,0.0002953383241369689,32.89775129550014
DOGE,2021-05-22,1,-0.04546901549611271,-0.11430129433935056,0.05905952954753252,0.1743505568015731,-0.14023590544708353,-0.292782720413946,-0.006171367423690011,-0.012720602935025867,-0.030168065823274193,-0.05854290798704619,0.0020245007187699405,0.0019430835552501254,8.141716351981517e-05,0.00022619482322576057,30.73481715350468
DOGE,2021-05-23,0,-0.009243897400433687,-0.0262364278163267,-0.04546901549611271,-0.11430129433935056,0.05905952954753252,0.1743505568015731,-0.14023590544708353,-0.292782720413946,-0.006171367423690011,-0.012720602935025867,0.001953557986048135,0.0019149568442003535,3.860114184778144e-05,0.00018867608695016477,32.202717163831934
DOGE,2021-05-24,4,-0.0338534631116979,-0.09867318937479773,-0.009243897400433687,-0.0262364278163267,-0.04546901549611271,-0.11430129433935056,0.05905952954753252,0.1743505568015731,-0.14023590544708353,-0.292782720413946,0.0018697967513206777,0.0018774867046536356,-7.689953332957892e-06,0.00014940287889354023,33.288622989727514
DOGE,2021-05-25,1,0.053835484115717314,0.1740934359570875,-0.0338534631116979,-0.09867318937479773,-0.009243897400433687,-0.0262364278163267,-0.04546901549611271,-0.11430129433935056,0.05905952954753252,0.1743505568015731,0.001836662905725661,0.0018609637454165566,-2.4300839690895694e-05,0.00011466213517665304,43.89673526691661
DOGE,2021-05-26,3,-0.0181730364410585,-0.050053979491883664,0.053835484115717314,0.1740934359570875,-0.0338534631116979,-0.09867318937479773,-0.009243897400433687,-0.0262364278163267,-0.04546901549611271,-0.11430129433935056,0.001795886475935532,0.0018395305873923542,-4.364411145682209e-05,8.300088584995802e-05,39.06070365315724
