symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2024-01-14 06:00:00+00:00,0.08076975,0.083849992,0.0796467,0.08133015,23041.666325364,12.0,0.082231449
DOGE/USD,2024-01-15 06:00:00+00:00,0.0812732,0.081641416,0.0798285,0.08045595,4987.949264211,10.0,0.0809148135
DOGE/USD,2024-01-16 06:00:00+00:00,0.0803915,0.08248755,0.079734,0.08073325,23876.107798373,14.0,0.0808943608
DOGE/USD,2024-01-17 06:00:00+00:00,0.0806955,0.0810785,0.0793045,0.080535,10349.677357477,14.0,0.0802356731
DOGE/USD,2024-01-18 06:00:00+00:00,0.08053905,0.08071705,0.0764283995,0.0778175,26068.124855981,19.0,0.0788634489
DOGE/USD,2024-01-19 06:00:00+00:00,0.0777895,0.078921,0.0747704,0.07824,9043.5355212,15.0,0.0773479185
DOGE/USD,2024-01-20 06:00:00+00:00,0.07823,0.0909651635,0.07823,0.085925,59441.764777277,33.0,0.0863097255
DOGE/USD,2024-01-21 06:00:00+00:00,0.08597065,0.0888195,0.0821525,0.083558,25820.152402394,21.0,0.0859920574
DOGE/USD,2024-01-22 06:00:00+00:00,0.083561,0.0847436,0.0800545,0.08111215,32739.30825888,23.0,0.0819673797
DOGE/USD,2024-01-23 06:00:00+00:00,0.081046,0.08108005,0.07594,0.07885695,26600.76936855,27.0,0.0777467711
DOGE/USD,2024-01-24 06:00:00+00:00,0.07889695,0.080606,0.07735345,0.0775025,14857.128999362,14.0,0.0798380601
DOGE/USD,2024-01-25 06:00:00+00:00,0.0775417,0.078646287,0.077098166,0.07821,2664.041777995,15.0,0.0778944574
DOGE/USD,2024-01-26 06:00:00+00:00,0.07822915,0.08032915,0.077656,0.07933435,125693.494479637,40.0,0.0800843647
DOGE/USD,2024-01-27 06:00:00+00:00,0.079359,0.0814649,0.078888,0.080715,708359.877622449,47.0,0.0796651452
DOGE/USD,2024-01-28 06:00:00+00:00,0.080715,0.08092655,0.07819845,0.0789269,456165.440039418,19.0,0.079020083
DOGE/USD,2024-01-29 06:00:00+00:00,0.0789325,0.082973432,0.0781771,0.0812565,18079.48246165,29.0,0.0814258015
DOGE/USD,2024-01-30 06:00:00+00:00,0.08123,0.0821712,0.0790251,0.080031,253336.599221183,19.0,0.0799193188
DOGE/USD,2024-01-31 06:00:00+00:00,0.079995,0.0801107,0.077265,0.078919,9798.725079371,10.0,0.0793332474
DOGE/USD,2024-02-01 06:00:00+00:00,0.07891295,0.0799165,0.0783385,0.0798542,9752.317174472,11.0,0.0796182776
DOGE/USD,2024-02-02 06:00:00+00:00,0.079784,0.079887,0.07856,0.07943485,15747.672143201,8.0,0.0789226479
DOGE/USD,2024-02-03 06:00:00+00:00,0.07937045,0.079448,0.078442955,0.0786375,18334.064809529,13.0,0.0790346584
DOGE/USD,2024-02-04 06:00:00+00:00,0.0785715,0.079937,0.077428177,0.078045,11162.635743003,12.0,0.0787583207
DOGE/USD,2024-02-05 06:00:00+00:00,0.0780785,0.08013929,0.077535,0.0781805,62587.645339719,13.0,0.0783609635
DOGE/USD,2024-02-06 06:00:00+00:00,0.078135,0.079202,0.077655,0.07847095,4281.340210986,8.0,0.078702661
DOGE/USD,2024-02-07 06:00:00+00:00,0.078485,0.080415,0.07818035,0.0800575,62856.146579206,9.0,0.0791996938
DOGE/USD,2024-02-08 06:00:00+00:00,0.080006,0.0808774,0.0795625,0.080655,55346.051698399,17.0,0.0805033398
DOGE/USD,2024-02-09 06:00:00+00:00,0.08068905,0.0821995,0.0803833,0.0815946,19250.002766454,22.0,0.0815276511
DOGE/USD,2024-02-10 06:00:00+00:00,0.0816155,0.082323684,0.0803666,0.08207,2111.475753106,6.0,0.0811047653
DOGE/USD,2024-02-11 06:00:00+00:00,0.0820725,0.0834966095,0.0799525,0.08018185,17148.732934769,13.0,0.0824430928
DOGE/USD,2024-02-12 06:00:00+00:00,0.0801695,0.0830105,0.0794834,0.082231,26375.52411089,32.0,0.082000432
DOGE/USD,2024-02-13 06:00:00+00:00,0.082216,0.08299345,0.079402081,0.081561,115063.943052973,12.0,0.0804261972
DOGE/USD,2024-02-14 06:00:00+00:00,0.0815492,0.088158301,0.081388,0.08574915,90007.881970911,50.0,0.085269566
DOGE/USD,2024-02-15 06:00:00+00:00,0.0858,0.086912764,0.0839545,0.08659865,6471.226840149,12.0,0.0853631526
DOGE/USD,2024-02-16 06:00:00+00:00,0.086615,0.0880202995,0.084005,0.084815,60222.770501186,49.0,0.0858249259
DOGE/USD,2024-02-17 06:00:00+00:00,0.084865,0.085366,0.0810221015,0.083999,100484.280945637,24.0,0.0839642696
DOGE/USD,2024-02-18 06:00:00+00:00,0.084081,0.0863449,0.08322,0.0861275,216963.451997848,23.0,0.0843607178
DOGE/USD,2024-02-19 06:00:00+00:00,0.0861425,0.0913412015,0.084708602,0.0886156,403322.339879581,50.0,0.0899180521
DOGE/USD,2024-02-20 06:00:00+00:00,0.08857,0.088644,0.083023,0.0849673,15171.002729937,21.0,0.0853727448
DOGE/USD,2024-02-21 06:00:00+00:00,0.0849586,0.0850856,0.082018452,0.0840385,11861.152813805,11.0,0.0833122632
DOGE/USD,2024-02-22 06:00:00+00:00,0.084083,0.0854925,0.083206867,0.0840943,107218.136915661,23.0,0.0846854421
DOGE/USD,2024-02-23 06:00:00+00:00,0.0840225,0.085435,0.082917942,0.0848765,65570.043120593,17.0,0.0839405969
DOGE/USD,2024-02-24 06:00:00+00:00,0.08486715,0.086353026,0.08462,0.086105,10977.83063687,10.0,0.0856364902
DOGE/USD,2024-02-25 06:00:00+00:00,0.0861121,0.0868344,0.08501845,0.08578645,62630.479519923,9.0,0.0864716662
DOGE/USD,2024-02-26 06:00:00+00:00,0.0858,0.09106245,0.0842009825,0.09073,467785.724370622,35.0,0.0872408882
DOGE/USD,2024-02-27 06:00:00+00:00,0.09071275,0.100615,0.09051585,0.095355,200501.406960388,78.0,0.0958768473
DOGE/USD,2024-02-28 06:00:00+00:00,0.095313,0.130607577,0.0946604,0.12772,436394.431035992,245.0,0.1119854795
DOGE/USD,2024-02-29 06:00:00+00:00,0.1277015,0.134885,0.114451855,0.120315,235109.686120754,150.0,0.1273276368
DOGE/USD,2024-03-01 06:00:00+00:00,0.1202055,0.1499,0.117134983,0.142565,259606.379274655,120.0,0.1348236956
DOGE/USD,2024-03-02 06:00:00+00:00,0.1424805,0.150804603,0.1360185,0.1401795,220509.464934569,81.0,0.1412180602
