Date,EMA_12,EMA_26,MACD,Signal,RSI
2020-05-27,1.138356209378736e-05,1.119563689901177e-05,1.8792519477559085e-07,2.792549591289397e-07,52.65942282049967
2020-05-28,1.1420691597340668e-05,1.122743445218748e-05,1.932571451531878e-07,2.620553963337893e-07,49.921273178472205
2020-05-29,1.1462083463266226e-05,1.1261679213200023e-05,2.0040425006620302e-07,2.4972516708027203e-07,47.06306904278189
2020-05-30,1.1452266319220774e-05,1.1271797199405265e-05,1.804691198155086e-07,2.3587395762731934e-07,52.17544035911051
2020-05-31,1.1516556225183874e-05,1.1316119681521981e-05,2.0043654366189263e-07,2.28786474834234e-07,56.24447499132571
2020-06-01,1.1535845979728975e-05,1.1340254492500132e-05,1.9559148722884248e-07,2.221474773131557e-07,49.65996001986065
2020-06-02,1.1655510673989916e-05,1.1412359085087167e-05,2.4315158890274886e-07,2.2634829963107434e-07,59.20127662893122
2020-06-03,1.1632981068079299e-05,1.1419522725863739e-05,2.1345834221556017e-07,2.2377030814797152e-07,48.99473020531949
2020-06-04,1.1661023934074092e-05,1.1448836575580903e-05,2.1218735849318869e-07,2.2145371821701498e-07,54.82923273755512
2020-06-05,1.1695410641773158e-05,1.1481110720657727e-05,2.1429992111543093e-07,2.200229587966982e-07,59.675617077098615
2020-06-06,1.1708752212748594e-05,1.1503408508247042e-05,2.053437045015516e-07,2.170871079376689e-07,53.55868741920813
2020-06-07,1.1719165112841874e-05,1.1523632771588365e-05,1.955323412535089e-07,2.127761546008369e-07,52.908271209287115
2020-06-08,1.1737570890883976e-05,1.1546978689997785e-05,1.9059220088619043e-07,2.0833936385790762e-07,60.7531697313099
2020-06-09,1.1739746795937131e-05,1.1562144288792725e-05,1.7760250714440609e-07,2.0219199251520733e-07,55.21688374072157
2020-06-10,1.1726210172100216e-05,1.1568782396363426e-05,1.5742777573678994e-07,1.9323914915952387e-07,53.23988737272984
2020-06-11,1.1730345287793408e-05,1.1582434694714723e-05,1.479105930786848e-07,1.8417343794335607e-07,51.90352707363413
2020-06-12,1.1641412468310704e-05,1.1550571529265916e-05,9.084093904478814e-08,1.655069381636425e-07,43.114823233180566
2020-06-13,1.1607341672616563e-05,1.1540896030527608e-05,6.644564208895464e-08,1.456946789487049e-07,50.27944233904615
2020-06-14,1.1594408015911614e-05,1.1539590613750332e-05,5.4817402161281965e-08,1.2751922359122032e-07,45.059628013276686
2020-06-15,1.1559068003883724e-05,1.1526635600711814e-05,3.243240317191022e-08,1.0850185950735832e-07,45.97150524897752
2020-06-16,1.1513393732930497e-05,1.1507046685302624e-05,6.3470476278736895e-09,8.80708971314614e-08,31.692956817559562
2020-06-17,1.1482314229019327e-05,1.1492552631391902e-05,-1.0238402372575586e-08,6.8409037230654e-08,45.32951189668791
2020-06-18,1.1451211075116962e-05,1.1476818638596498e-05,-2.560756347953651e-08,4.96057170886159e-08,35.470093819941525
2020-06-19,1.1413841911091336e-05,1.1456929221585677e-05,-4.308731049434069e-08,3.1067111572024585e-08,31.6639934404581
2020-06-20,1.1371494556473822e-05,1.1433348101918405e-05,-6.185354544458275e-08,1.2482980168703119e-08,32.23527031145318
